School Name,State,Region,Starting Median Salary
University of Oregon,Oregon,Western,"$42,200.00 "
Montana State University - Bozeman,Montana,Western,"$46,600.00 "
Gonzaga University,Washington,Western,"$44,900.00 "
University of Hawaii,Hawaii,Western,"$43,800.00 "
Western Washington University,Washington,Western,"$42,700.00 "
Regis University,Colorado,Western,"$48,300.00 "
Idaho State University,Idaho,Western,"$44,900.00 "
"University of Alaska, Anchorage",Alaska,Western,"$45,900.00 "
Lewis & Clark College,Oregon,Western,"$38,900.00 "
University of Montana,Montana,Western,"$37,300.00 "
"University of Nevada, Las Vegas (UNLV)",Nevada,Western,"$45,200.00 "
Portland State University (PSU),Oregon,Western,"$42,600.00 "
Eastern Washington University,Washington,Western,"$38,600.00 "
Fort Lewis College,Colorado,Western,"$42,000.00 "
Boise State University (BSU),Idaho,Western,"$40,800.00 "
Utah Valley State College,Utah,Western,"$42,400.00 "
Evergreen State College,Washington,Western,"$39,500.00 "
Southern Utah University,Utah,Western,"$41,900.00 "
Montana State University - Billings,Montana,Western,"$37,900.00 "
University of Notre Dame,Ohio,Midwestern,"$56,300.00 "
University Of Chicago,Illinois,Midwestern,"$53,400.00 "
Carleton College,Minnesota,Midwestern,"$47,500.00 "
Illinois Institute of Technology (IIT),Illinois,Midwestern,"$56,000.00 "
Case Western Reserve University,Ohio,Midwestern,"$56,200.00 "
University of Illinois at Urbana-Champaign (UIUC),Illinois,Midwestern,"$52,900.00 "
Northwestern University,Illinois,Midwestern,"$52,700.00 "
University of Missouri - Rolla (UMR),Missouri,Midwestern,"$57,100.00 "
South Dakota School of Mines & Technology,South Dakota,Midwestern,"$55,800.00 "
University of Michigan,Michigan,Midwestern,"$52,700.00 "
Purdue University,Indiana,Midwestern,"$51,400.00 "
Marquette University,Wisconsin,Midwestern,"$48,500.00 "
DePauw University,Indiana,Midwestern,"$41,400.00 "
University of Wisconsin (UW) - Madison,Wisconsin,Midwestern,"$48,900.00 "
Bradley University,Illinois,Midwestern,"$47,000.00 "
St. Olaf College,Minnesota,Midwestern,"$45,300.00 "
Michigan State University (MSU),Michigan,Midwestern,"$46,300.00 "
DePaul University,Illinois,Midwestern,"$46,400.00 "
Iowa State University,Iowa,Midwestern,"$45,400.00 "
University of Minnesota,Minnesota,Midwestern,"$46,200.00 "
"Indiana University (IU), Bloomington",Indiana,Midwestern,"$46,300.00 "
University of Iowa (UI),Iowa,Midwestern,"$44,700.00 "
